time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.4698,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.8558,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.43528,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.52551,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.38338,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.55104,0.0,0.0,0.0,0.0,0.0
9,1073.63471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.74147,0.0,0.0,0.0,0.0,0.0
10,554.09087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.62253,0.0,0.0,0.0,0.0,0.0
11,546.040994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.25336,0.0,0.0,0.0,0.0,0.0
12,537.344131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.19493,0.0,0.0,0.0,0.0,0.0
13,914.76823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.43654,0.0,0.0,0.0,0.0,0.0
14,927.176242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.376,0.0,0.0,0.0,0.0,0.0
15,846.403105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.98557,0.0,0.0,0.0,0.0,0.0
16,874.352726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.12461,0.0,0.0,0.0,0.0,0.0
17,872.195446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.99544,0.0,0.0,0.0,0.0,0.0
18,849.489633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.02247,0.0,0.0,0.0,0.0,0.0
19,819.657054,2326.91336,3388.00665,664.893531,1948.58605,885.191754,0.0,0.0,0.0,0.0,0.0,1071.74386,2475.90783,1016.17201,0.0,0.0,1566.14068
20,907.438157,1565.38668,2229.96548,913.74516,1216.67398,1276.05019,0.0,0.0,0.0,0.0,0.0,1209.44778,1335.36496,693.549913,0.0,0.0,1075.34907
21,742.890144,1795.32191,2392.48801,446.08461,902.235907,1298.07213,0.0,0.0,0.0,1379.91191,0.0,1154.95259,1076.6412,644.910414,0.0,0.0,1596.19371
22,842.113274,1879.95075,2108.26198,621.470302,946.620408,1168.06562,0.0,0.0,0.0,1006.45067,0.0,1138.88994,1402.43918,777.096564,0.0,0.0,1220.11559
23,878.839092,1972.45476,2191.99728,480.586691,1076.33156,1270.65673,0.0,0.0,0.0,1717.56131,0.0,1096.77973,1328.83793,877.057141,0.0,0.0,1406.88108
24,673.389742,1853.64299,2100.50684,533.175034,1018.60729,1149.13492,0.0,0.0,0.0,453.548402,0.0,1058.32106,1488.29857,1021.87436,0.0,0.0,1213.98106
25,768.254846,1681.23772,1881.66236,490.234825,1983.37704,1222.31011,0.0,0.0,0.0,1332.91377,0.0,1049.73556,1177.46774,905.142746,0.0,0.0,1232.62508
26,719.295926,1528.5209,1748.04311,455.556144,1219.50994,1141.99302,0.0,0.0,0.0,1405.69588,0.0,1070.90371,1481.74605,1040.38926,0.0,0.0,1078.22266
27,719.276332,1421.10659,1611.12839,490.221732,791.14352,1028.16447,0.0,0.0,0.0,1020.40277,0.0,1004.60963,1240.1114,811.219795,0.0,0.0,1055.15541
28,677.001019,1535.0256,1351.2455,463.410199,1276.39401,1045.51686,0.0,0.0,0.0,698.021315,0.0,966.053709,1135.12499,802.431522,0.0,0.0,1065.83637
29,713.604199,1293.15205,1434.99222,428.99435,1103.53405,910.25845,0.0,0.0,0.0,752.02854,0.0,927.790346,1071.20349,753.383986,0.0,0.0,1007.74103
30,732.831376,1116.41617,925.674496,449.26956,852.531942,900.417543,0.0,1040.08994,0.0,988.26318,0.0,893.142353,996.819458,497.654592,0.0,0.0,1274.1692
31,526.31943,978.97541,1169.14059,492.770936,594.480017,940.66408,0.0,949.805125,0.0,1214.42958,0.0,874.093235,917.340592,603.510579,0.0,0.0,721.661114
32,664.365596,1094.44879,1169.76809,396.294926,629.933515,785.753275,0.0,746.671544,0.0,1349.2355,1142.57595,811.960716,960.634559,653.29424,0.0,0.0,823.758968
33,444.254278,939.285223,1319.56655,473.675355,1204.46723,804.603347,0.0,1262.71778,0.0,1441.72392,985.416885,790.562572,1267.30575,790.472122,0.0,0.0,1006.42096
34,369.636842,884.39418,1260.71816,445.135518,861.842974,796.714558,0.0,846.009736,0.0,981.784382,908.121595,764.992715,1337.60979,694.28673,0.0,0.0,913.991131
35,435.471209,384.628901,943.549089,338.75025,674.280225,839.575377,0.0,564.623641,0.0,522.661136,907.104229,739.892937,1412.85304,955.353463,0.0,0.0,750.032703
36,524.181449,594.576143,860.574916,440.075667,878.420346,744.5371,0.0,755.890483,0.0,1027.85021,848.674187,714.159786,993.602613,752.262189,0.0,0.0,824.192476
37,462.383493,652.757062,671.87243,411.654199,737.554053,739.744027,0.0,1515.18414,0.0,1119.28692,1182.16534,689.783554,1088.82825,635.001344,0.0,0.0,740.708091
38,533.22904,858.905001,941.659905,400.225425,807.977422,669.59581,0.0,1518.30296,0.0,1029.4569,1391.77642,665.570447,883.12522,751.403478,0.0,0.0,718.917294
39,353.898212,710.89279,805.366864,445.762222,727.209984,670.195683,0.0,1252.21569,0.0,1048.42642,862.425133,642.411905,1113.51358,678.543793,0.0,0.0,751.573608
40,334.040421,601.51698,705.739676,363.604222,546.712601,665.591501,0.0,1203.25134,0.0,610.233717,728.297191,622.725398,221.573831,612.067824,0.0,0.0,598.600282
41,369.156575,657.465064,683.724276,268.950443,436.738474,499.329379,0.0,1070.37812,0.0,673.663827,473.080639,602.939153,480.83932,403.163984,0.0,0.0,613.283079
42,348.361845,740.515681,675.009589,354.221706,540.2799,600.309144,0.0,453.434586,0.0,1079.32205,371.878217,585.527923,634.677309,781.750692,0.0,0.0,710.218604
43,233.306003,529.313988,375.001421,376.683191,427.918318,607.384508,0.0,460.512275,0.0,1001.12616,664.278509,568.64303,1027.6906,678.049361,0.0,0.0,755.830216
44,198.450946,527.978522,518.220947,324.178963,547.344034,567.624122,0.0,866.818993,0.0,1040.58559,637.727279,559.646404,1116.96916,587.670582,0.0,0.0,599.83585
45,438.528874,480.192552,625.206106,367.288837,367.771971,477.876133,0.0,1051.42081,0.0,1099.13467,762.902557,520.712904,1157.22628,569.551048,0.0,0.0,807.60598
46,280.396256,423.235113,333.44843,314.839766,315.505547,539.451654,0.0,922.043084,0.0,762.895875,405.377846,778.683916,957.027827,529.8863,0.0,0.0,677.28996
47,205.146769,385.142337,287.150178,290.702632,506.590756,477.631803,0.0,799.522987,0.0,303.910092,534.826432,488.942684,789.109583,602.857905,0.0,0.0,582.143105
48,160.945082,428.156544,365.876475,272.797843,652.148275,484.344581,322.044416,520.451192,706.558196,642.075689,214.573098,559.436209,787.925774,473.00407,1793.67656,0.0,608.574948
49,197.085067,449.047553,455.983697,298.659061,804.177399,429.205781,317.663676,160.349255,597.565337,229.976967,0.0,430.87485,705.782466,490.636945,1174.81466,1596.79636,571.108514
50,143.662512,545.191436,809.082567,288.413552,655.519875,509.056162,0.0,461.733483,461.375523,696.350529,347.415585,760.462687,643.999225,353.642944,673.52058,1202.44344,566.644041
51,154.962893,614.44402,0.0,192.315057,689.375863,349.251353,65.1754953,1060.70118,352.382915,894.261889,132.233915,594.721559,717.223469,321.972859,627.866233,850.654637,422.11587
52,277.204662,395.151614,150.04555,259.959101,1091.28756,433.43123,138.962553,683.628151,279.448748,1058.43984,232.860445,614.731014,722.669046,335.971214,677.181616,829.398874,369.410474
53,199.244945,327.032487,144.933983,172.033094,824.665872,408.095442,78.9533527,578.033205,236.822431,744.263022,150.838194,518.952931,676.524554,343.598056,609.494111,703.176427,366.548703
54,128.574265,467.385998,69.0283983,229.013634,860.956982,130.788588,509.353422,504.482461,197.968257,358.298331,198.457366,523.679008,971.541959,434.093662,483.707517,982.102363,347.497729
55,189.92912,0.0,80.081668,426.689576,794.755844,82.5212428,335.343157,909.137406,463.829144,439.767088,155.941658,409.714923,675.858626,444.9471,478.081559,1027.62538,338.166027
56,159.79711,599.629275,238.384428,454.870653,654.28515,208.332884,693.995827,755.372892,628.750917,348.667091,167.662463,460.648151,791.667847,368.255033,455.522606,1112.06959,372.29153
57,243.738574,230.821928,386.690224,452.219536,722.010822,229.708547,354.968548,672.836172,392.164195,542.746547,167.454287,392.436048,632.848603,373.099464,431.474226,873.066706,415.84927
58,187.460117,535.494791,246.672853,393.995899,609.387198,282.895362,352.069232,583.072695,203.772085,268.651542,124.812202,423.611685,774.004442,387.917709,407.882361,1101.03317,488.350764
